year,state,county,FIPS,candidate,party,candidatevotes,totalvotes,version
2000,Tennessee,Anderson,47001,Al Gore,democrat,13556,28779,20191203
2000,Tennessee,Anderson,47001,George W. Bush,republican,14688,28779,20191203
2000,Tennessee,Anderson,47001,Ralph Nader,green,316,28779,20191203
2000,Tennessee,Anderson,47001,Other,NA,219,28779,20191203
2000,Tennessee,Bedford,47003,Al Gore,democrat,6136,12207,20191203
2000,Tennessee,Bedford,47003,George W. Bush,republican,5911,12207,20191203
2000,Tennessee,Bedford,47003,Ralph Nader,green,80,12207,20191203
2000,Tennessee,Bedford,47003,Other,NA,80,12207,20191203
2000,Tennessee,Benton,47005,Al Gore,democrat,3700,6311,20191203
2000,Tennessee,Benton,47005,George W. Bush,republican,2484,6311,20191203
2000,Tennessee,Benton,47005,Ralph Nader,green,62,6311,20191203
2000,Tennessee,Benton,47005,Other,NA,65,6311,20191203
2000,Tennessee,Bledsoe,47007,Al Gore,democrat,1756,4196,20191203
2000,Tennessee,Bledsoe,47007,George W. Bush,republican,2380,4196,20191203
2000,Tennessee,Bledsoe,47007,Ralph Nader,green,35,4196,20191203
2000,Tennessee,Bledsoe,47007,Other,NA,25,4196,20191203
2000,Tennessee,Blount,47009,Al Gore,democrat,14688,40662,20191203
2000,Tennessee,Blount,47009,George W. Bush,republican,25273,40662,20191203
2000,Tennessee,Blount,47009,Ralph Nader,green,379,40662,20191203
2000,Tennessee,Blount,47009,Other,NA,322,40662,20191203
2000,Tennessee,Bradley,47011,Al Gore,democrat,8768,29443,20191203
2000,Tennessee,Bradley,47011,George W. Bush,republican,20167,29443,20191203
2000,Tennessee,Bradley,47011,Ralph Nader,green,271,29443,20191203
2000,Tennessee,Bradley,47011,Other,NA,237,29443,20191203
2000,Tennessee,Campbell,47013,Al Gore,democrat,6492,12421,20191203
2000,Tennessee,Campbell,47013,George W. Bush,republican,5784,12421,20191203
2000,Tennessee,Campbell,47013,Ralph Nader,green,74,12421,20191203
2000,Tennessee,Campbell,47013,Other,NA,71,12421,20191203
2000,Tennessee,Cannon,47015,Al Gore,democrat,2697,4697,20191203
2000,Tennessee,Cannon,47015,George W. Bush,republican,1924,4697,20191203
2000,Tennessee,Cannon,47015,Ralph Nader,green,45,4697,20191203
2000,Tennessee,Cannon,47015,Other,NA,31,4697,20191203
2000,Tennessee,Carroll,47017,Al Gore,democrat,5239,10827,20191203
