year,county,party,candidate,candidate_votes,total_votes,percent_vote
2008,Anderson,democrat,Barack Obama,11396,31570,36.09756097560975
2008,Bedford,democrat,Barack Obama,5027,15507,32.417617850003225
2008,Benton,democrat,Barack Obama,2645,6479,40.824201265627416
2008,Bledsoe,democrat,Barack Obama,1517,4784,31.709866220735787
2008,Blount,democrat,Barack Obama,15253,51645,29.534320844224997
2008,Bradley,democrat,Barack Obama,9357,38191,24.500536775680136
2008,Campbell,democrat,Barack Obama,3867,12628,30.62242635413367
2008,Cannon,democrat,Barack Obama,2011,5457,36.85175004581272
2008,Carroll,democrat,Barack Obama,3980,11646,34.174823973896615
2008,Carter,democrat,Barack Obama,5587,21769,25.66493637741743
2008,Cheatham,democrat,Barack Obama,5498,16428,33.4672510348186
2008,Chester,democrat,Barack Obama,1797,6459,27.821644217371112
2008,Claiborne,democrat,Barack Obama,3078,10420,29.539347408829176
2008,Clay,democrat,Barack Obama,1248,2994,41.68336673346693
2008,Cocke,democrat,Barack Obama,3340,12481,26.76067622786636
2008,Coffee,democrat,Barack Obama,7132,20790,34.30495430495431
2008,Crockett,democrat,Barack Obama,1967,6037,32.582408481033625
2008,Cumberland,democrat,Barack Obama,7889,25712,30.682171748599874
2008,Davidson,democrat,Barack Obama,158423,264486,59.89844453014527
2008,Decatur,democrat,Barack Obama,1566,4763,32.87843795926937
2008,DeKalb,democrat,Barack Obama,2832,7065,40.08492569002124
2008,Dickson,democrat,Barack Obama,7506,19519,38.45483887494237
2008,Dyer,democrat,Barack Obama,4411,14450,30.52595155709343
2008,Fayette,democrat,Barack Obama,6892,19254,35.795159447387555
2008,Fentress,democrat,Barack Obama,1831,6739,27.170203294257306
2008,Franklin,democrat,Barack Obama,6613,17432,37.93597980725103
2008,Gibson,democrat,Barack Obama,7406,21253,34.84684515127276
2008,Giles,democrat,Barack Obama,4614,11689,39.47300881170331
2008,Grainger,democrat,Barack Obama,2066,7503,27.535652405704386
2008,Greene,democrat,Barack Obama,7110,24670,28.82042967166599
2008,Grundy,democrat,Barack Obama,1971,4632,42.55181347150259
2008,Hamblen,democrat,Barack Obama,6807,22669,30.027791256782386
2008,Hamilton,democrat,Barack Obama,64246,147520,43.55070498915401
2008,Hancock,democrat,Barack Obama,604,2241,26.952253458277553
2008,Hardeman,democrat,Barack Obama,5919,11237,52.67420129927917
2008,Hardin,democrat,Barack Obama,2794,10035,27.84255107125062
2008,Hawkins,democrat,Barack Obama,5930,21040,28.184410646387832
2008,Haywood,democrat,Barack Obama,4893,8121,60.25120059106022
2008,Henderson,democrat,Barack Obama,3021,10834,27.8844378807458
2008,Henry,democrat,Barack Obama,5153,13545,38.043558508674785
2008,Hickman,democrat,Barack Obama,3563,8498,41.927512355848435
2008,Houston,democrat,Barack Obama,1678,3354,50.029815146094215
2008,Humphreys,democrat,Barack Obama,3600,7580,47.4934036939314
2008,Jackson,democrat,Barack Obama,2224,4501,49.41124194623417
2008,Jefferson,democrat,Barack Obama,5178,18532,27.940859054608246
2008,Johnson,democrat,Barack Obama,1837,6591,27.87133970565923
2008,Knox,democrat,Barack Obama,70215,186086,37.73255376546328
2008,Lake,democrat,Barack Obama,1024,2238,45.75513851653262
2008,Lauderdale,democrat,Barack Obama,4322,9338,46.2840008567145
2008,Lawrence,democrat,Barack Obama,5161,16020,32.215980024968786
2008,Lewis,democrat,Barack Obama,1804,4834,37.318990484071165
